ID,Predict
0,2
1,2
2,1
3,2
4,2
5,2
6,1
7,2
8,1
9,2
10,2
11,0
12,1
13,1
14,1
15,1
16,1
17,2
18,1
19,2
20,2
21,2
22,2
23,1
24,2
25,2
26,0
27,2
28,1
29,1
30,1
31,1
32,0
33,2
34,1
35,1
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,1
46,2
47,1
48,1
49,2
50,1
51,1
52,1
53,2
54,1
55,2
56,2
57,2
58,0
59,2
60,2
61,2
62,1
63,2
64,0
65,2
66,2
67,1
68,1
69,2
70,2
71,2
72,1
73,1
74,1
75,2
76,2
77,1
78,2
79,1
80,2
81,2
82,1
83,1
84,2
85,2
86,2
87,1
88,2
89,1
90,2
91,2
92,2
93,2
94,1
95,2
96,1
97,2
98,1
99,2
100,2
101,2
102,2
103,2
104,1
105,1
106,2
107,1
108,2
109,2
110,1
111,1
112,1
113,2
114,1
115,2
116,1
117,2
118,2
119,1
120,0
121,1
122,2
123,2
124,2
125,2
126,2
127,2
128,0
129,2
130,2
131,2
132,1
133,2
134,2
135,2
136,2
137,1
138,2
139,2
140,1
141,2
142,2
143,1
144,2
145,1
146,1
147,2
148,1
149,1
150,2
151,2
152,1
153,2
154,1
155,1
156,2
157,1
158,2
159,2
160,2
161,2
162,2
163,1
164,1
165,1
166,2
167,2
168,2
169,1
170,2
171,1
172,2
173,2
174,1
175,1
176,2
177,1
178,2
179,2
180,1
181,2
182,2
183,1
184,1
185,2
186,2
187,1
188,2
189,1
190,2
191,2
192,2
193,1
194,2
195,2
196,1
197,1
198,1
199,1
200,1
201,2
202,1
203,2
204,1
205,2
206,2
207,2
208,2
209,2
210,1
211,0
212,1
213,2
214,2
215,2
216,2
217,1
218,2
219,2
220,1
221,1
222,2
223,2
224,2
225,1
226,2
227,2
228,2
229,2
230,2
231,1
232,1
233,2
234,2
235,2
236,1
237,1
238,1
239,1
240,2
241,0
242,0
243,1
244,1
245,1
246,2
247,2
248,2
249,1
250,2
251,2
252,1
253,2
254,2
255,1
256,2
257,2
258,1
259,1
260,1
261,1
262,2
263,2
264,2
265,2
266,1
267,1
268,1
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,1
278,2
279,2
280,0
281,1
282,2
283,2
284,1
285,2
286,2
287,2
288,0
289,1
290,1
291,2
292,2
293,2
294,1
295,1
296,2
297,2
298,2
299,2
300,1
301,2
302,1
303,1
304,2
305,1
306,1
307,1
308,2
309,2
310,0
311,0
312,1
313,2
314,2
315,1
316,0
317,1
318,1
319,2
320,2
321,2
322,2
323,0
324,1
325,2
326,1
327,1
328,2
329,2
330,2
331,2
332,1
333,1
334,2
335,2
336,1
337,1
338,1
339,2
340,2
341,2
342,1
343,1
344,2
345,1
346,2
347,2
348,0
349,2
350,1
351,0
352,2
353,1
354,1
355,1
356,2
357,1
358,2
359,1
360,2
361,2
362,2
363,1
364,2
365,1
366,2
367,2
368,2
369,0
370,0
371,1
372,2
373,1
374,1
375,1
376,1
377,2
378,2
379,2
380,1
381,2
382,2
383,1
384,1
385,1
386,0
387,2
388,2
389,2
390,2
391,1
392,1
393,2
394,2
395,1
396,2
397,2
398,1
399,0
400,1
401,1
402,2
403,0
404,2
405,2
406,1
407,0
408,2
409,1
410,1
411,2
412,2
413,1
414,1
415,2
416,1
417,2
418,2
419,1
420,1
421,1
422,0
423,2
424,1
425,2
426,2
427,0
428,2
429,2
430,1
431,2
432,2
433,2
434,2
435,2
436,1
437,1
438,1
439,2
440,2
441,1
442,1
443,1
444,2
445,0
446,1
447,2
448,1
449,1
450,2
451,2
452,2
453,2
454,1
455,1
456,1
457,1
458,2
459,2
460,2
461,0
462,1
463,1
464,1
465,2
466,2
467,2
468,1
469,1
470,0
471,1
472,2
473,2
474,2
475,1
476,1
477,1
478,1
479,2
480,1
481,2
482,2
483,2
484,1
485,1
486,1
487,2
488,1
489,2
490,1
491,2
492,1
493,2
494,1
495,2
496,1
497,2
498,2
499,1
500,2
501,1
502,2
503,2
504,1
505,0
506,2
507,2
508,0
509,2
510,2
511,1
512,1
513,1
514,1
515,2
516,2
517,2
518,1
519,1
520,0
521,1
522,1
523,0
524,2
525,0
526,1
527,1
528,1
529,0
530,2
531,2
532,1
533,0
534,2
535,2
536,2
537,1
538,2
539,1
540,2
541,1
542,1
543,2
544,2
545,1
